run	sample_name	sample_number	lane_number	
SRR9841059	slac1	S11	L001
SRR9841060	slac1	S11	L002
SRR9841061	slac1	S11	L003
SRR9841062	slac1	S11	L004
SRR9841063	slac1	S1	L001
SRR9841064	slac1	S1	L002
SRR9841065	slac1	S1	L003
SRR9841066	slac1	S1	L004
SRR9841067	slac2	S12	L001
SRR9841068	slac2	S12	L002
SRR9841069	slac2	S12	L003
SRR9841070	slac2	S12	L004
SRR9841071	slac2	S2	L001
SRR9841072	slac2	S2	L002
SRR9841073	slac2	S2	L003
SRR9841074	slac2	S2	L004
SRR9841075	slac3	S13	L001
SRR9841076	slac3	S13	L002
SRR9841077	slac3	S13	L003
SRR9841078	slac3	S13	L004
SRR9841079	slac3	S3	L001
SRR9841080	slac3	S3	L002
SRR9841081	slac3	S3	L003
SRR9841082	slac3	S3	L004
SRR9841083	slac4	S14	L001
SRR9841084	slac4	S14	L002
SRR9841085	slac4	S14	L003
SRR9841086	slac4	S14	L004
